"site","job_url","job_url_direct","title","company","location","job_type","date_posted","interval","min_amount","max_amount","currency","is_remote","emails","description","company_url","company_url_direct","company_addresses","company_industry","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009190793495","","Data Analyst and Power BI Specialist","Datacorn Services LLP","Hyderābād","","2024-03-17","yearly",1200000.0,1500000.0,"INR",False,"","Experience and Skills:

Overall Experience 5 - 8 years

3 years in Power BI.

8 years in MS SQL. & MYSQL

Expereince with Azure Datalake is plus

Hands-on development experience with Microsoft Business Intelligence stack

Education/Qualification: Bachelor’s degree in Computer Science or related field, or equivalent education and experience

Job Summary:

Soft Skills

**Ability to thrive in a fast-paced, dynamic, client-facing role where delivering solid work products to exceed high expectations is a measure of success.**

**Excellent leadership and interpersonal skills.**

**Eager to contribute in a team-oriented environment.**

**Strong prioritization and multi-tasking skills with a track record of meeting deadlines.**

**Ability to be creative and analytical in a problem-solving environment.**

**Effective verbal and written communication skills.**

**Adaptable to new environments, people, technologies, and processes**

**Ability to manage ambiguity and solve undefined problems**

BI Skills

**Responsible for building, implementing, and supporting reporting solutions for our enterprise clients. The right individual will possess experience in all stages of BI project work (requirements and logical design, physical design, implementation, testing, and deployment).**

**Develop data models, ETL packages, OLAP cubes, and reports utilizing Power BI applying best practices to the development lifecycle. Documentation of source-to-target mappings, data dictionaries, and database design. Identify areas of improvement to optimize data flows.**

**Analyze data models and optimize data structures. Investigate and implement business intelligence for your entire organization. Collaborate with data management.**

**Demonstrates proficiency in the development and administration at least one of the following areas:**

◦Back-end data integration and architecture including dimensional data modeling, database design, data warehousing, ETL development, and performance tuning.

◦Front-end reporting and analytics platforms, tabular data modeling, Performance Point, Power Pivot, Power View, Power BI Report and Dashboard development.

◦Extremely strong SQL skills.

Job Types: Full-time, Contract  
Contract length: 6 months

Salary: ₹1,200,000.00 - ₹1,500,000.00 per year

Benefits:

* Work from home

Schedule:

* Night shift

Experience:

* Power BI: 3 years (Required)

Work Location: In person

Expected Start Date: 01/04/2024","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009190114355","","Associate Data Scientist","Blazeclan Technologies","Pune","","2024-03-17","yearly",900000.0,900000.0,"INR",False,"","### **Job Description**

  

  

* Collaborate with stakeholders to define project goals, gather requirements, and identify data sources.
* Conduct exploratory data analysis and provide rapid iterations of analysis to refine posed problem and identify potential solutions.
* Select and develop the appropriate machine learning algorithm /statistical model to address a particular business question.
* Interpret and communicate analytical findings and insights to technical and non-technical stakeholders.
* Collaborate with Data/ML engineers to integrate models and algorithms into production.
* Contribute to the development of data science infrastructure, tools, and frameworks for efficient data analysis, experimentation, and model deployment.
* Research industry trends and identify industry best practices to develop best practice within the Data & Analytics team.
* Align delivery of the solutions with Agile methodologies.

### **Requirements**

  

* Must-Have proven experience as a Data Scientist (5 years + relevant exp), with a strong track record of delivering impactful data-driven solutions.
* Proficiency in Python and SQL, with experience in data manipulation and analysis libraries (e.g., Pandas, Polars, NumPy, SciPy).
* Proficiency in machine learning frameworks and libraries (e.g. PyTorch, scikit-learn) and data visualization tools (e.g., matplotlib, seaborn).
* Strong knowledge of machine learning algorithms (regression, SVM, gradient boosting, LSTNs, Transformers, etc) and experience working with time series datasets.
* Familiarity with cloud platforms (AWS, Azure).
* Excellent problem-solving skills and the ability to think critically and analytically.
* Strong communication skills, with the ability to present complex concepts and findings to both technical and non-technical audiences.

Self-motivated and a good team player.  
* 

**Nice to Have Skills:**  

* Domain knowledge of commodities, covering Sales, Trading, Risk, Supply Chain, Customer Interaction, etc. is highly desirable.
* Experience with Natural Language Processing and Large Language Models is highly desirable.
* Experience implementing optimization methods such as linear programming is a plus.
* Experience with geospatial analysis is a plus.

### **Benefits**

* We're recognized as a Niche Player in the 2023 Gartner® Magic Quadrant™ for Public Cloud IT Transformation Services. It's not just an achievement; it's a testament to our dedication to cloud excellence and innovation  

A culture where the #ninecorevalues are believed in and role modelled. Yes, you get rewarded for it too!
* A culture of #keeplearning. We are interested in how you are grooming yourself for the next level of growth opportunity rather than target crunching and coding away. A meaningful career is a mandate for us!
* A culture where the leadership team believes in utmost transparency and is prompt in its communication initiatives with the clan
* A culture which fosters many lifelong connections and we literally have clan@clan working with us
* Work-life Balance and prioritising mental wellbeing are more than just buzz words for us. We are prioritising them at the clan
* Finally, a clan which is a close-knit family of ambitious and intelligent minds, raring to take Blazeclan to the next level and making it the #firstbornincloudconsultingunicorn
* All of the above, has got us a hattrick at being a GPTW, India and Singapore!

  
Job Opening ID


BL\\_1623\\_JOBID
Title


Associate Data Scientist
Assigned Recruiter(s)


Riddhi Joshi
Job Opening Status


In-progress
Skill Set


Data Science
Industry


IT Services
Sub Skill


AWS; SQL; Python; Machine Learning; AWS AI Services
Work Experience


7+ year(s)
City


Pune City
State/Province


Maharashtra
Country


India
Zip/Postal Code


411001","https://www.glassdoor.co.in/Overview/W-EI_IE792713.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009189795213","","Data Science IC3","Microsoft","Hyderābād","","2024-03-16","yearly",327500.0,920000.0,"INR",False,"","*Are you a data scientist, and* *you* *love what you do? Would you like to be a part of a* ***global*** *customer facing Team focused on solving complex, real-world business problems? Would you like to be a part of a community of technical leaders, highly* *specialised* *in their disciplines and working together as one to bring the best practices of engineering and architecture to* *world’s* *largest enterprise customers?*  

The **Industry Solutions Delivery** (ISD) **Engineering & Architecture** **Group** (EAG) is a global consulting and engineering organization that supports our most complex and leading-edge customer engagements. EAG enhances ISD’s technical capabilities, and partners with others to develop approaches, innovative solutions, and engineering standards to set our sales and delivery teams up for success. Leveraging the principles of model, care, and coach, we provide consistent high-quality customer experience through technical leadership and IP capture centered on delivery truth. We are committed to Responsible AI, and we help our customers and partners build ethical, transparent and trustworthy AI solutions.  

We are hiring a **Data Scientist** with experience in and passion for advanced statistical data analysis, and implementation of data science solutions in enterprises.
You'll work with high-impact professionals to solve complex problems for strategic customers and partners. You'll communicate trends and innovative solutions and collaborate cross-functionally within the Microsoft ecosystem, including product teams, research, security, solution strategy, industry excellence, and responsible AI.  

Our team embraces a growth mindset and encourages diverse viewpoints. We value personal and cultural experiences and strive for excellence. We offer a flexible work environment to help you succeed in creating transformative and responsible AI solutions that positively impact billions worldwide.**Responsibilities**
--------------------

***Business Understanding and Impact***
Leverages understanding of data science and business to examine a project and consider factors that can influence final outcomes within a technical area. Evaluates project plan for resources, risks, contingencies, requirements, assumptions, and constraints. Documents key business objectives. Effectively communicates business goals in analytical and technical terms. Consistently shares insights with stakeholders.***Data Preparation and Understanding***
Acquires necessary data for project completion and describes it using querying, visualization, and reporting techniques. Explores data for key attributes and contributes to development of quality reports. Collaborates with others to perform data-science experiments using established methodologies and tools. Partners with Solution Architects, Consultants, and Data Engineers in data preparation efforts. Identifies data integrity problems and adheres to Microsoft's privacy policy.***Modeling and Statistical Analysis***
Applies machine learning knowledge to identify the best approach for project objectives, utilizing individual algorithms and modeling techniques. Selects the appropriate approach to prepare data, train, optimize, and evaluate the model for statistical and business significance. Writes scripts in SQL, Python, R, etc. Designs experiments, analyzes results, and communicates findings to stakeholders. Understands operational considerations for model deployment and partners with data engineering teams to develop operational models.***Evaluation***
Understands the relationship between the model and business objectives. Tests models on test and production data, analyzes performance, and incorporates customer feedback. Reviews data analysis and modeling techniques to identify overlooked or reexamined factors. Contributes to the review summary.***Industry and Research Knowledge/Opportunity Identification***
Learns and understands the current state of the industry, including knowledge of tools, techniques, strategies, and processes that can be utilized to improve process efficiency and performance. Maintains knowledge of current trends within the discipline. Attends internal research conferences and participates in on-hands training, when appropriate. Actively contributes to the body of thought leadership and intellectual property (IP) best practices.***Coding and Debugging***
Writes efficient and readable code for specific features, collaborating with other engineering teams to optimize code and improve system efficiency, reliability, and maintainability. Develops expertise in debugging techniques and integrates data models into customer systems. Understands big-data software engineering concepts, such as k, Databricks, CI/CD, Docker, Delta Lake, MLflow, Azure Machine Learning, and REST API consumption/development.***Business Management***
Develops understanding of data structures and relationship to customer business goals, observes senior engineers for best practices in identifying growth opportunities and exploring ML applications. Understands customer business goals and demonstrates a strong commitment to Responsible AI, supporting customers, partners and internal stakeholders in building trustworthy AI solutions.***Customer/Partner Orientation***
Focuses on customer needs, manages expectations, and enhances customer excellence. Learns from senior team members to develop insights and communicate results. Understands the impact of data quality on model accuracy and can explain it to customers.***Other***
Embody our culture and values**Qualifications**
------------------

**Required/Minimum Qualifications**
* Minimum of\\_4 years of experience as a data scientist implementing data science solution, with experience in implementing projects in one or more areas amongst: Computer Vision, LLMs, Audio/Voice data processing, and Reinforcement Learning.
* Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, Engineering or related field AND data-science experience (e.g., managing structured and unstructured data, applying statistical techniques and reporting results)
* OR Master's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, Engineering or related field data-science experience (e.g., managing structured and unstructured data, applying statistical techniques and reporting results) or consulting experience
* OR Doctorate in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, Engineering or related field
* OR equivalent experience.


Your success in this role will be achieved if you are comfortable interacting with external customers, are able to manage a complicated internal stakeholder group, and can demonstrate the following key knowledge, skills and experience:* Hands-on software engineering experience (e.g. Python, C++)
* Proven skills and experience in a data science role
* Familiarity with building and deploying largescale AI solutions into production within a cloud environment. Has experience in working with MLOps, LLMOps and frameworks like LangChain, Semantic Kernel and Prompt Flow.

  


Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.","https://www.glassdoor.co.in/Overview/W-EI_IE1651.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009189509882","","Data Scientist","Enlyft","Pune","","2024-03-16","yearly",412500.0,611348.0,"INR",False,"","About Enlyft

  

Data and AI are at the core of the Enlyft platform. We are looking for creative, customer and detail-obsessed machine learning engineers who can contribute to our strong engineering culture. Our big data engine indexes billions of structured / unstructured documents and leverages data science to accurately infer the footprint of thousands of technologies and products across millions of businesses worldwide. The complex and evolving relationships between products and companies form a technological graph that is core to our predictive modeling solutions. Our machine learning based models work by combining data from our customer's CRM with our proprietary technological graph and firmographic data, and reliably predict an account's propensity to buy.  



  

About the Role

  

As part of our team, you'll be tasked with handling substantial datasets to develop machine learning models catering to our enterprise clients. Your role will also involve contributing to the development of foundational models for our product. To excel in this position, you should possess a strong analytical aptitude, with a deep understanding of data analysis, mathematics, and statistics. Critical thinking and problem-solving abilities are imperative for the interpretation of data. Furthermore, we value a genuine enthusiasm for machine learning and a commitment to research.

  

Responsibilities:

  

* Develop and Deploy predictive models in production and conduct advanced analytics, data mining, and data visualization to influence strategic decisions
* Architect and build data models to transform data into insights at scale
* Evaluate model performance and conduct iterative model training to maximize predictive and forecast accuracy on an on-going basis.

  



Requirements:

  

* Bachelor or above degree in Computer Science, Applied Mathematics, Statistics, Econometrics, or related field
* 4-6 years of work experience depending on educational level and relevance
* Sharp analytical abilities and problem solving skills
* Working knowledge of Statistics, programming and predictive modeling
* Expert knowledge of Python or a related scripting language, familiarity with Python packages such as pandas, numpy, scipy, nltk is a must. Databricks & Spark are good to have
* Comfort manipulating and analyzing complex, high-volume, high dimensionality data coming from various data sources
* Experience working with databases like MySQL, NoSQL, MongoDB, SQL Server, Oracle or Teradata.

  



Why join Enlyft

  


* A top-notch culture that is customer obsessed, transparent and constantly strives for excellence
* A top-notch team with colleagues that will help you learn and grow in a collaborative environment
* Competitive pay and great benefits

  





Enlyft is an equal opportunity employer and values diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","https://www.glassdoor.co.in/Overview/W-EI_IE2264082.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009189857150","","Data Science Intern","Oracuz InfoTech Pvt Ltd.","India","","2024-03-16","monthly",5000.0,5000.0,"INR",False,"","We are providing 6 Months training for Data Science.

We are not looking for experienced or trained candidates. We are looking for fresher candidates only.

Both Male and Female candidates can apply.

* Job Type: Full-time
* Mode: Hybrid
* Benefits: Computer assistance
* Schedule: Monday to Friday(2 Hours/Day)

Job Type: Internship  
Contract length: 6 months

Salary: From ₹5,000.00 per month

Benefits:

* Flexible schedule

Schedule:

* Day shift
* Monday to Friday

Supplemental pay types:

* Performance bonus

Work Location: In person

**Speak with the employer**  
+91 9744990201","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009188425254","","Data Science GSC","HSBC","Bengaluru","","2024-03-16","","","","",False,"","Job description
**Some careers have more impact than others.**

  

  

If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be.


HSBC is one of the largest banking and financial services organizations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realize their ambitions.


We are currently seeking an experienced professional to join our team in the role **AVP Data Science, Finance Operations**


**Principal Responsibilities**


* The data science team with the data operation vertical aims to enhance the upstream data quality for downstream finance users of cloud data - There are multiple aspects that come into play when looking at data quality 1)accuracy, (2) completeness, and (3) reliability of the data at hand, ensuring that downstream finance teams can rely on a robust foundation for their reporting and analytical endeavors. These require extensive data exploration & analysis abilities along with extensive experience in data analytics
* Use of Cloud platform & data for advanced analytics solutions - designing, development & deployment of data quality solutions across Data Operations
* Use of tools such as Python/Pyspark, BigQuery, visualization tools to deliver above solutions.
* Help conceptualize & deliver POCs by providing subject matter knowledge of advanced analytics & Machine learning techniques
* Map the journey of successful POCs to full scale deployment & production
* Develop best in quality automated data quality checks using advanced AI/ ML techniques & dashboards that feed into downstream modelling & decision making use-cases
* Proficient in mathematical/ statistical/ programing concepts
* Liaison with various stakeholders across FCD, IT, other finance teams to design and deploy solutions
* Monitor new industry trends in the above specified area on a constant basis, in order to continuously improve solutions through newer tools & techniques and applications
* Work within an agile delivery framework – Keep oneself up-to date with latest industry practices within the Cloud, data science & programming arena.
Requirements
**Qualifications - External**

  



* Graduate/ Post-graduate degree with relevant field of 5-8 years (Finance/Economics/Operation Research/Statistics/Mathematics/ B.Tech/ MBA/ Data Science)
* Certification courses in Data Science/Risk Management or similar areas will be added advantage
* Excellent coding skills in latest statistical packages/apps SAS/R/Python
* Term papers with demonstrated skills set in modelling, forecasting and optimization
* Excellent quantitative aptitude and hands-on proficiency with analytical tools such as SAS, R, Python
* Highly focused on project delivery, attention to detail
* Excellent written and verbal communication skills
* Strong collaborative, influencing skills
* Strong analytical and problem solving skills, open minded, flexible, pragmatic
* Good estimation and planning skills
* Ability to deal in a multi-stakeholder relationship in a complex environment
* Able to progress multiple tasks at the same time
* Enthusiastic, displaying energy, drive and stamina
* Willing to work with colleagues in other areas/ time zones where appropriate
* Prior experience in dealing with virtual business partners across the globe
* Excellent Microsoft Excel skills

  

**You’ll achieve more at HSBC**

  

  

HSBC is an equal opportunity employer committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and, opportunities to grow within an inclusive and diverse environment. We encourage applications from all suitably qualified persons irrespective of, but not limited to, their gender or genetic information, sexual orientation, ethnicity, religion, social status, medical care leave requirements, political affiliation, people with disabilities, color, national origin, veteran status, etc., We consider all applications based on merit and suitability to the role.”


Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.

  



**\\*\\*\\*Issued by HSBC Electronic Data Processing (India) Private LTD\\*\\*\\***","https://www.glassdoor.co.in/Overview/W-EI_IE3482.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009188479615","","Executive - Data Analytics","Spare Care Solutions","Gurgaon","","2024-03-16","yearly",400000.0,600000.0,"INR",False,"","You must understand the Spare Parts Business.

You'll be responsible for following:

a. Data Analytics & Dashboarding using PowerBI

b. ETL using MS SQL

d. Advanced Excel Operations

d. Co-ordinate with the Company's Operations Team to deliver Quality services to the clients.

Fresh Engineering Or Science Graduates with at least 3 Year of experience having flair for data analytics and quick understanding of the business, willingness to go extra mile to ensure the customer satisfaction and build a career in Automotive Industry.

Understanding of SQL will be preferable

Job Type: Full-time

Salary: ₹400,000.00 - ₹600,000.00 per year

Benefits:

* Cell phone reimbursement
* Leave encashment
* Paid sick time
* Provident Fund

Schedule:

* Day shift

Supplemental pay types:

* Performance bonus

Ability to commute/relocate:

* Gurugram, Haryana: Reliably commute or planning to relocate before starting work (Required)

Education:

* Bachelor's (Required)

Experience:

* Power BI: 1 year (Required)","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009188689711","","Assoc. Data Science Analyst","Numerator","India","","2024-03-16","","","","",False,"","**We’re reinventing the market research industry. Let’s reinvent it together.**



At Numerator, we believe tomorrow’s success starts with today’s market intelligence. We empower the world’s leading brands and retailers with unmatched insights into consumer behavior and the influencers that drive it.


As an Associate Data Analyst with Numerator, you’ll be a vital member of the team supporting Data Quality at Numerator (Insights specifically). Your responsibilities will include becoming proficient with the data flow in Numerator’s data pipelines, getting detailed understanding on where data quality issues might arise, analyzing client reported or monitoring alerted issues as comprehensively as possible through a prescribed process, interpreting results from different visualizations and table outputs based on given guidelines, and reporting back the findings in a detailed manner. You will be indirectly reporting to a team of U.S.-based Data Analysts who work on various Data Problems who seek your support on initial investigation of the problems done using Templated SQL queries, BI Tools, Numerator Platform and Excel or Google Sheets Analysis.


**There is strength in numbers - We are the Numerati**



Numerator is 2,000 employees strong. We have the confidence to be real and embrace what makes each Numerati unique. Our diverse experiences, ideas and backgrounds fuel our innovation.



Being part of the Numerati means that we’ll take care of you! From our Recharge Days, maximum flexibility policy, wellness resources for employees and their families, development opportunities and much more — we’re always finding ways to better support, celebrate and accelerate our team.


* Bachelor's degree (any field) with a passion for statistics, market research, and account management/growth.


* At least 1 year of industry experience with data analysis.


* Notable Hands-on Experience in SQL (writing and understanding queries with joins, case statements, subqueries) with interest to up-skill (College Projects or Work)


* Proficient in Excel (or equivalent) and good with table calculations.


* Good understanding of entry level statistics (Mean, Median, Mode, Samples)


* Highly Enthusiastic about Qualitative and Quantitative data analysis.


* Good oral and written communication skills.


* Decent understanding on Data Visualization (Experience with tools like Tableau, Mode, Power BI or similar is good to have)


* Advanced SQL Experience is good to have (Analytical Window Functions, multiple CTEs)


*We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by the law.*


*While some roles can be remote, Numerator is only able to hire in many, but not all, states and provinces. In certain cases, if you are not located in a specific area where Numerator is able to hire, you may not be eligible for employment**.*","https://www.glassdoor.co.in/Overview/W-EI_IE2291386.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009189941943","","Data Science Engineer","NebulARC","","","2024-03-16","","","","",True,"career@nebularc.com","Raw denim you probably haven t heard of them jean shorts Austin. Nesciunt tofu stumptown aliqua, retro synth master cleanse. Mustache cliche tempor, williamsburg carles vegan helvetica. Reprehenderit butcher retro keffiyeh dreamcatcher synth. Cosby sweater eu banh mi, qui irure terry richardson ex squid. Aliquip placeat salvia cillum iphone. Seitan aliquip quis cardigan american apparel, butcher voluptate nisi qui.
Qualifications


B.tech, BCA, MCA
key Skils


Angular

dot.Net

Python

HTML

CSS

SCSS


Job Location


Delhi Gurgaon
  
At NebulARC, we are always on the lookout for the geeks, thinkers and innovators; people who create the future than wait for it. Be a part of the team that is on the forefront of computing revolution. Browse through active openings and if you think you fit the bill, share your resume at  

**career@nebularc.com**","https://www.glassdoor.co.in/Overview/W-EI_IE4408860.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009189355946","","Executive Manager - Data Science","PepsiCo","Hyderābād","","2024-03-16","yearly",650689.0,900000.0,"INR",False,"","Overview:
* In this role, you will play a key role in driving Perfect Store and white space agendas for the DX team for PepsiCo internal teams and our bottlers, esp. with focus on building models that support these initiatives . You will be a trusted advisor to DX leaders across key markets - enabling a range of internal stakeholders to leverage data as competitive advantage on how we live our vision of identifying stores with the biggest sales potential and partner with them to accelerate growth through EDGE, prioritized investment and personalisaed execution. You will be an expert in modelling to support these priorities and will demonstrate hands-on expertise in building and application of Segmentation through Shopper Led Clustering (SLC) , Mot Valuable Store Modelling and White Space store modelling through application of Data science and advanced analytics
* The position exists to unlock competitive advantage in go-to-market and execution through cutting edge data science, advanced analytics and AI techniques, with a focus on OT, TT and AfH. The role holder will also leverage industry best practice and shared learnings within GBS to help to establish data science and machine learning to support market projects.


Responsibilities:
* Working with huge and varied datasets to find sources of strategic advantage in go-to-market and execution, with a focus on Organised Trade, Traditional Trade and Away-From-Home.
* Designing and using algorithms and building predictive & prescriptive models needed to automate execution and the generation of insights, to enable efficiencies that allow colleagues to focus on value added tasks.
* Developing our internal capability to derive insights from structured data, unstructured data through location intelligence, machine learning, collaborative filtering, etc. to unlock new sources of insight that can be used to drive competitive advantage.
* Acting as an “evangelist” for data science within the Advanced Analytics team, building understanding of, and enthusiasm for, what can be achieved.
* Develop our existing tools to build greater simulation and forecasting capability, giving our business and our retail customers confidence that we can improve returns on current execution, asset deployment and activation plans., **with 3 main focus areas:**

**Building segmentation models (SLC)*** Building new SLC models for existing or new markets/channels or customers – k-means algorithm etc
* Utilising data from sDNA and/or excel data through internal data lakes or customer data
* Building any other form of new measurement asset to answer business questions
* Validation of model with relevant stake holders
* Reporting of outputs of data , eg. Share of category, brand, flavour, sku, etc

**Run MVS models for key customers and channels*** Building new MVS models for existing or new markets/channels or customers
* Utilising 3rd party agency data (sales, execution, POI, etc) and or sDNA to help priroitise biggest current store opportunities
* Basic visual reporting of opportunity – eg. Matrix of store level opportunities

**Run white space models for key channels*** Utilising 3rd party agency data and or sDNA to help prioritise new outlets we are not ranged in
* Basic mapping of white space outlets where necessary through either power BI and/or google maps’


Qualifications:
* ‘Best in class’ data science capabilities, for instance a Master’s degree or PhD in data science or maths.
* 5-8 years of relevant advanced analytics experience in Marketing or Commercial in either Retail, or CPG industries. Other B2C domains can be considered
* Advanced knowledge of key data science techniques:
* Combining data from multiple sources through APIs, Semantic Web, etc.
* Data preparation and feature engineering
* Supervised / Unsupervised learning
* Collaborative Filtering
* Location Analytics & Intelligence
* High level of proficiency in either R or Python
* Familiarity with query languages such as SQL or Hive
* Able to translate complex concepts into clear stories for the business, proven through at least 18 months experience in a business facing data science role
* Experience of defining the shape of data science projects from the initial creation of hypotheses through to delivery of results into the business","https://www.glassdoor.co.in/Overview/W-EI_IE522.htm","","","","","","","","","",""
